liquidassets_adj_p50, netwealth_adj_p50, liquid_to_perm_p50, liquidassets_adj_mean, netwealth_adj_mean, liquid_to_perm_mean
55724.242,-198063.64,.10502382,171165.99,49489.098,.20837921
47429.613,-36070,.10342544,110657.08,201642.3,.29151008
44902.242,23979.92,.10721421,107078.23,272955.57,.27364073
39386.965,14825.302,.10430899,101615.12,308762.23,-.00106847
30500.261,-50388.555,.09402328,91659.576,310199.9,.24445895
22959.27,-42611.109,.08549514,78911.435,290459.03,.3080779
16417.672,9.1649694,.07875046,61123.417,255915.61,.36515667
39230.305,45705.824,.15789539,89437.689,401422.3,.87025226
161361.84,618493.94,.48021913,224712.98,961709.9,.71407427
521509.05,1748721.8,1.2322732,748195.62,2436165.1,1.6923737
